Comment,Designator,Footprint,LCSC
SKQGABE010,SW5,SW_SPST_SKQG_WithoutStem,C115351
100nF,"C1,C11,C12,C13,C14,C15",C_0603_1608Metric,C14663
5k1,"R1,R2",R_0603_1608Metric,C14677
1uF,"C2,C3",C_0603_1608Metric,C15849
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10k,R3,R_0603_1608Metric,C2139679
USBLC6-2SC6,U2,SOT-23-6,C2827654
XC6206PxxxMR-Regulator_Linear,U3,SOT-23,C5446
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D6,D7,D8,D9",D_SOD-123F,C64898
500mA,F1,Fuse_1206_3216Metric,C70076
SMF9.0CA,D_PWR1,D_SOD-123,C707469
STM32F072C8Tx,U1,LQFP-48_7x7mm_P0.5mm,C80488
10uF,C16,C_0603_1608Metric,C96446
